Rank,Address,NFT_Count,Total_DOLO,Vote_Weight,Earliest_Lock_End,Latest_Lock_End,Token_IDs
1,0x0640B34aA370c2B4aC73184726a4A2AEF8b52829,18,5319.14,52730.4083,2028-02-17,2028-02-17,10648;22443;22444;22445;22446;22447;22448;22449;22450;22451;22452;22453;23323;23325;23326;23327;23328;23518
2,0x50A852203b68861968786fA057b0716860775b3a,25,1967.97,15554.3683,2028-02-17,2028-02-17,3217;16696;16697;17105;19062;19063;19962;20926;21181;21400;21528;21782;21997;22133;22234;22807;22945;22946;23034;23122;23226;23293;23383;23452;23517
3,0xCB86B75EE6133d179a12D550b09FB3cdB1e141D4,1,0,0.0,,,0
4,0x186B4E576E34974c776aB8048970AefD9C71468e,5,0,18055.1067,,,1;4;110;16501;23104
5,0x4d72D4269Ab46962713ca19cAb8161A87684A163,3,0,24927.3606,,,5;3194;15523
6,0x185542374ce5Fc8bF8F215F5Fc681370704fD124,2,0,206901.9592,,,12;8142
7,0xA61D9946974adcd77e2965686C5c25845fD80C87,1,0,28.917,,,15
8,0x295dac8986F5598f3F09c416bCE9e22BBdEE526B,1,0,141.534,,,17
9,0x77ec26275b9B29f8B8cA6233ab8CC41Fb8356870,1,0,5964.6715,,,26
10,0x9e702ade7D608b689af5B6C156621607Ef11eE22,1,0,19.4061,,,29
11,0x7e81462e3c1A43cd4BfF20216ac5EbeB6913e534,1,0,493.9039,,,30
12,0x4442318189da6B7FBC2fCa5eD4A67ebeedB7A9eC,1,0,8087.486,,,32
13,0x4eeeC9917F0978D568E890EEe27683769d03Ba35,1,0,1564.6689,,,36
14,0xADeED59F446cb0a141837e8f7c22710d759Cba65,7,0,250856.9632,,,37;4090;16083;16787;17265;20688;21021
15,0x4694a2680E7e2d73E56e8b0646a289116187aa59,1,0,10104.8347,,,40
16,0x9B307c3DFD51a3723E7eAdE631359db0Aa04F28f,1,0,191.1931,,,51
17,0xc65Aa07A7134B08a558cBc29ABa93CEBdfB02a33,3,0,2308.5584,,,52;18160;18161
18,0xE7548e35Ed9Cb5ff77Dc62D605aF2c6C8A89C3fd,1,0,2758.9422,,,62
19,0xa6FcAC02B5A6aEF1Be0dcda8156694e291FDcBf5,1,0,6.6465,,,63
20,0x470c4462C67a3FaB03901B81C0B96909F8330Ca6,1,0,5754.6036,,,67
21,0x8526406521d8d16C85981eAbdC5559848C5De783,1,0,1114.1819,,,70
22,0xe436218B7BaC76f08449A4027C6F11D1a9E2baDa,1,0,159.8699,,,74
23,0xc018b9a9a1E881C0Be9078c580e7B10041E33230,18,0,272859.0866,,,75;5687;14879;14880;14881;16918;18332;20103;22440;22569;22649;22650;22725;23152;23322;23376;23434;23509
24,0x1112961C3381dF20c02AE44e013e567431673b0b,2,0,929.332,,,79;10092
25,0x9c0D1F4a029c46265831D120DeE9CDc72F0aB3C3,10,0,146546.3917,,,82;5474;10140;14818;14949;15770;15826;15887;16151;20995
26,0xe796b856f6d0cAF88DFd7dCbE83804a02b6D9283,1,0,10.3999,,,83
27,0x26de224CBE06fd4321Ce5747a176CBBD24773BEb,1,0,43959.2217,,,85
28,0xEB4eeC4e1946F0Ef984B09c594aF08668b7239c7,2,0,1538.5338,,,90;4792
29,0x1eD83B850549cC736e3a6d1380e317e6196FB31d,1,0,2190.1552,,,91
30,0x710cD59AC16e1d3bb962637112D122BC6ba19a55,1,0,29.6039,,,92
31,0x8D106c747CD21272D4C9Ff0Af8d53A9C9AcA25d2,1,0,1537.9143,,,93
32,0x765a16ca391A6b9249cfA65bf2D14C38722198e3,1,0,15.9746,,,96
33,0x2295B954327205C45a03CbC0ef1DC43d75B2f9c6,1,0,663.595,,,97
34,0xA72fece511B5379b77bF2007388a355c997215f0,2,0,954.412,,,98;4423
35,0x8548FB95164603B5936eD513dAE1D54f0Ae51A53,1,0,4.76,,,99
